"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","name_localizedValue0","usertype","birth year","gender"
90,"2018-03-01 00:04:48","2018-03-01 00:06:18",3273,"Manila & 1st",40.721650724879986,-74.04288411140442,3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,29256,"Annual Membership from Citi Bike App","Subscriber",1988,1
202,"2018-03-01 00:15:48","2018-03-01 00:19:10",3185,"City Hall",40.7177325,-74.043845,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,31847,"Annual Membership","Subscriber",1990,1
237,"2018-03-01 00:25:52","2018-03-01 00:29:49",3206,"Hilltop",40.7311689,-74.0575736,3225,"Baldwin at Montgomery",40.7236589,-74.0641943,26247,"Annual Membership from Citi Bike App","Subscriber",1988,1
107,"2018-03-01 00:31:51","2018-03-01 00:33:38",3211,"Newark Ave",40.72152515,-74.046304543,3209,"Brunswick St",40.7241765,-74.0506564,31675,"Join Citi Bike for $14.95/month","Subscriber",1966,1
442,"2018-03-01 00:42:09","2018-03-01 00:49:32",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3214,"Essex Light Rail",40.7127742,-74.0364857,29661,"Annual Membership","Subscriber",1984,1
605,"2018-03-01 00:56:40","2018-03-01 01:06:46",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3189,"West Side Light Rail",40.714402,-74.0887723,29606,"Join Citi Bike for $14.95/month","Subscriber",1962,1
392,"2018-03-01 01:04:02","2018-03-01 01:10:34",3209,"Brunswick St",40.7241765,-74.0506564,3206,"Hilltop",40.7311689,-74.0575736,26238,"$25 Off Annual Membership","Subscriber",1981,1
383,"2018-03-01 01:06:42","2018-03-01 01:13:05",3214,"Essex Light Rail",40.7127742,-74.0364857,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29618,"Annual Membership from Citi Bike App","Subscriber",1987,1
107,"2018-03-01 01:15:53","2018-03-01 01:17:40",3211,"Newark Ave",40.72152515,-74.046304543,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,31762,"Join Citi Bike for $14.95/month","Subscriber",1986,1
418,"2018-03-01 02:44:27","2018-03-01 02:51:26",3201,"Dey St",40.737711,-74.066921,3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,31722,"Join Citi Bike for $14.95/month","Subscriber",1978,1
811,"2018-03-01 02:59:13","2018-03-01 03:12:45",3199,"Newport Pkwy",40.7287448,-74.0321082,3210,"Pershing Field",40.742677141,-74.051788633,29211,"Annual Membership","Subscriber",1968,1
1330,"2018-03-01 05:09:29","2018-03-01 05:31:39",3207,"Oakland Ave",40.7376037,-74.0524783,3185,"City Hall",40.7177325,-74.043845,31689,"Annual Membership","Subscriber",1984,2
331,"2018-03-01 05:20:51","2018-03-01 05:26:23",3193,"Lincoln Park",40.7246050998869,-74.07840594649315,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29539,"FREE Bonus Month with Annual Membership","Subscriber",1985,1
240,"2018-03-01 05:21:04","2018-03-01 05:25:05",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31704,"Annual Membership","Subscriber",1980,1
351,"2018-03-01 05:22:12","2018-03-01 05:28:03",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29536,"Annual Membership","Subscriber",1962,1
142,"2018-03-01 05:26:28","2018-03-01 05:28:50",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,26204,"Annual Membership","Subscriber",1980,1
149,"2018-03-01 05:34:14","2018-03-01 05:36:44",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29307,"Join Citi Bike for $14.95/month","Subscriber",1982,1
162,"2018-03-01 05:41:26","2018-03-01 05:44:08",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29626,"Annual Membership","Subscriber",1981,1
165,"2018-03-01 05:52:32","2018-03-01 05:55:17",3213,"Van Vorst Park",40.71848892,-74.047726625,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26275,"Annual Membership","Subscriber",1962,2
122,"2018-03-01 05:56:28","2018-03-01 05:58:31",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3184,"Paulus Hook",40.7141454,-74.0335519,29607,"Join Citi Bike for $14.95/month","Subscriber",1961,1
464,"2018-03-01 05:58:22","2018-03-01 06:06:07",3203,"Hamilton Park",40.727595966,-74.044247311,3202,"Newport PATH",40.7272235,-74.0337589,29595,"$25 Off Annual Membership","Subscriber",1995,2
159,"2018-03-01 05:59:08","2018-03-01 06:01:48",3213,"Van Vorst Park",40.71848892,-74.047726625,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31753,"Annual Membership","Subscriber",1989,1
1343,"2018-03-01 06:01:16","2018-03-01 06:23:39",3207,"Oakland Ave",40.7376037,-74.0524783,3207,"Oakland Ave",40.7376037,-74.0524783,29523,"Annual Membership","Subscriber",1981,1
244,"2018-03-01 06:04:34","2018-03-01 06:08:39",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31878,"Annual Membership","Subscriber",1984,1
230,"2018-03-01 06:04:57","2018-03-01 06:08:48",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,31865,"Annual Membership","Subscriber",1958,1
522,"2018-03-01 06:05:11","2018-03-01 06:13:53",3192,"Liberty Light Rail",40.7112423,-74.0557013,3183,"Exchange Place",40.7162469,-74.0334588,29624,"Annual Membership","Subscriber",1960,1
304,"2018-03-01 06:06:17","2018-03-01 06:11:22",3207,"Oakland Ave",40.7376037,-74.0524783,3195,"Sip Ave",40.73074262530658,-74.06378388404846,26181,"Annual Membership","Subscriber",1977,1
354,"2018-03-01 06:07:02","2018-03-01 06:12:57",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3639,"Harborside",40.7192517,-74.034234,31940,"Annual Membership","Subscriber",1957,1
174,"2018-03-01 06:10:34","2018-03-01 06:13:28",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31743,"Annual Membership","Subscriber",1975,1
